date,first_name,last_name,subject,joy_score,neutral_score,surprise_score,sadness_score,anger_score,fear_score,disgust_score
2016-07-29 13:46:40,Suzan,DelBene,A quick update,,0.3412851393222809,0.0086658429354429,0.0125643825158476,0.0066535323858261,0.621471107006073,
2016-07-29 19:20:00,Joe,Courtney,Great news for the future of the Coast Guard Band,0.0973923131823539,0.5602793097496033,0.0279748123139143,0.2491438686847686,,0.0467870570719242,
2016-11-30 15:33:20,Alma,Adams,Congress in your Community,0.0631354451179504,0.8870586156845093,0.0203447453677654,0.0105693917721509,,0.0119508067145943,
2016-04-12 11:20:00,David,Loebsack,Equal Pay Day,0.0075594489462673,0.950730800628662,0.0078861052170395,0.0126899564638733,0.011258827522397,,
2016-06-11 18:33:20,Kathleen,Rice,Thanks for signing up,0.0283555928617715,0.9197533130645752,0.0323246493935585,0.0059453207068145,,0.0067937755957245,
2016-04-29 17:13:20,Emanuel,Cleaver,EC From DC: Fighting For Our Veterans,0.1415996104478836,0.7302219271659851,0.0128298383206129,0.084208570420742,,0.0146273924037814,
2016-05-06 18:40:00,Gwen,Moore,Protecting Your Pensions | Global Impact of Flint H2O Crisis,,0.3693781495094299,,0.0571563988924026,0.0966910272836685,0.4164401888847351,0.035391230136156
2016-07-18 08:20:00,Elijah,Cummings,I'd like to hear from you,0.02527960203588,0.912662923336029,0.0252464320510625,0.0215636007487773,,0.0081381732597947,
2016-07-22 09:33:20,Jim,Cooper,"Top 10 at 10: Friday, July 22",0.0390415601432323,0.4604806900024414,0.1432447433471679,0.2903808653354645,0.0418749637901783,,
2016-08-02 12:13:20,Jackie,Speier,"INVITE: Military Academy Information Night, September 19",0.1194951757788658,0.8017870783805847,0.0493081323802471,0.0089752729982137,,0.0104152532294392,
2016-01-19 19:00:00,Earl,Blumenauer,"Malheur National Wildlife Refuge Occupiers Need to Leave, and Now",,0.0227158591151237,0.0051967166364192,,0.5728765726089478,0.2505942583084106,0.1422194987535476
2016-02-26 18:06:40,Rick,Larsen,Big win for small businesses,0.3368802666664123,0.5877191424369812,0.0527640245854854,0.0115735884755849,0.0055467807687819,,
2016-09-30 15:40:00,Ted,Lieu,REP. LIEU & MAYOR GARCETTI STATEMENTS ON PRESIDENT OBAMA SIGNING L.A. HOMELESS VETERANS LEASING ACT INTO LAW,0.5084490776062012,0.3975862860679626,0.0709582418203353,0.0083970539271831,0.0080120842903852,,
2016-01-25 19:26:40,Filemon,Vela,A Special Message from Congressman Filemon Vela,0.0253770127892494,0.6079064607620239,,0.0658396482467651,0.0278474614024162,0.2483436465263366,
2016-05-06 15:53:20,Emanuel,Cleaver,EC From DC: We Need Nine,,0.9152579307556152,0.011736680753529,0.0246288329362869,0.0103871719911694,0.0295424740761518,
2016-03-02 14:46:40,Alcee,Hastings,The Hastings Monthly Report - March 2016,0.0710846632719039,0.2820721864700317,,0.1627304852008819,0.0147781772539019,0.4474000632762909,
2016-01-11 16:33:20,Alan,Lowenthal,"Congressman Lowenthal eNewsletter 'The 47th Flyer' - Jan. 11 - Congressional Priorities, Small Business, Scouts",,0.2678234577178955,0.027988851070404,0.0070513333193957,0.0295178852975368,0.6567985415458679,
2016-04-24 20:33:20,Denny,Heck,Solving problems,,0.5723980069160461,0.0369321256875991,0.304643452167511,0.0255391001701354,0.0483384206891059,
2016-09-14 19:06:40,Beto,O’Rourke,Quick update ,0.026181936264038,0.931845486164093,0.0245975293219089,0.0062246164306998,0.0044997995719313,,
2016-02-22 14:06:40,Chaka,Fattah,Announcing the 2016 Congressional Art Competition,0.0435354672372341,0.8615700006484985,0.0501536652445793,0.0214032549411058,,0.0138048864901065,
2016-09-29 17:26:40,Chris,Van Hollen,"Fighting for our veterans, demanding answers on premium hikes and more",0.0722494721412658,0.8373380303382874,0.0651988834142685,,0.01157081220299,0.0060594612732529,
2016-08-31 19:00:00,John,Delaney,BREAKING: IAVA Supports Vet Credit Bill,0.8153730034828186,0.1368912011384964,0.0245019067078828,0.0083924233913421,0.0085458057001233,,
2016-07-13 17:13:20,Alan,Lowenthal,"Rep. Lowenthal eNewsletter 'The 47th Flyer' - July 14 - Gun Violence, Cambodian Freedoms, Public Lands",,0.0112471561878919,,0.934106945991516,0.0058332649059593,0.036229021847248,0.0058145173825323
2016-05-08 17:53:20,Ed,Perlmutter,May 20: RSVP for the Premiere of MEDIC!,,0.9253745079040528,0.012631107121706,0.0104671474546194,0.0234417170286178,,0.0155258644372224
2016-05-31 13:06:40,Suzan,DelBene,A quick update,,0.2477099299430847,0.0071500767953693,0.0317323729395866,0.0152641357854008,0.6889443397521973,
2016-08-30 18:00:00,Carolyn,Maloney,Combatting Cyber Security Threats at Our Banks,,0.0646322816610336,0.0060278768651187,0.0098585505038499,0.0138007421046495,0.9014169573783876,
2016-08-15 16:53:20,Gerald,Connolly,Responding to the Zika Threat,,0.0112992031499743,0.0100482879206538,0.9688318371772766,,0.0046561765484511,0.0025453704874962
2016-06-30 12:33:20,Suzan,DelBene,A quick update,,0.1081365719437599,0.0106475949287414,0.3128640353679657,,0.5472506880760193,0.0123669244349002
2016-02-19 19:26:40,Tulsi,Gabbard,Dengue Fever Update,,0.318749189376831,,0.0135639617219567,0.5734244585037231,0.0558112263679504,0.0306795220822095
2016-02-12 15:13:20,Suzan,DelBene,Happy Valentine's Day!,0.0110864620655775,0.5048104524612427,0.0126190530136227,0.0172095857560634,,0.4458543062210083,
2016-09-30 18:26:40,Nancy,Pelosi,The Bare Minimum,,0.5931950807571411,0.0183805413544178,0.0537323169410228,0.0160194709897041,0.3089681267738342,
2016-05-16 14:46:40,Ruben,Gallego,Congressman Gallego's May District Update,0.3020826578140259,0.3529520630836487,0.3249024450778961,,0.009303780272603,,0.0039226114749908
2016-07-17 12:53:20,Diana,DeGette,Protecting Lives and the Environment,,0.1642275601625442,0.054457563906908,0.4177971184253692,,0.2771142423152923,0.0572212226688861
2016-04-12 14:06:40,Debbie,Dingell,Equal Pay Can't Wait,,0.8888658285140991,0.0449921265244483,0.0139623470604419,0.012223326601088,0.0302802734076976,
2016-01-13 10:13:20,Filemon,Vela,A Special Update from Congressman Filemon Vela,0.1131022945046424,0.728858232498169,0.1146556660532951,0.0273480527102947,0.0086096646264195,,
2016-01-21 15:26:40,Donald,Beyer,Winter Storm Jonas,,0.2494070827960968,0.0116116348654031,0.1114772260189056,0.023412100970745,0.5961410403251648,
2016-10-21 22:46:40,Tulsi,Gabbard,Text to 911,0.0120034413412213,0.8967402577400208,0.031968742609024,,0.0159693900495767,0.0300534684211015,
2016-04-29 17:13:20,Joe,Courtney,Helping Connecticut's fishermen preserve their way of life,,0.421634167432785,,0.1327675133943557,0.1702746897935867,0.2164252698421478,0.0337142795324325
